t,0_x,0_y,0_z,0_v,1_x,1_y,1_z,1_v,2_x,2_y,2_z,2_v,3_x,3_y,3_z,3_v,4_x,4_y,4_z,4_v,5_x,5_y,5_z,5_v,6_x,6_y,6_z,6_v,7_x,7_y,7_z,7_v,8_x,8_y,8_z,8_v,9_x,9_y,9_z,9_v,10_x,10_y,10_z,10_v,11_x,11_y,11_z,11_v,12_x,12_y,12_z,12_v,13_x,13_y,13_z,13_v,14_x,14_y,14_z,14_v,15_x,15_y,15_z,15_v,16_x,16_y,16_z,16_v,17_x,17_y,17_z,17_v,18_x,18_y,18_z,18_v,19_x,19_y,19_z,19_v,20_x,20_y,20_z,20_v,21_x,21_y,21_z,21_v,22_x,22_y,22_z,22_v,23_x,23_y,23_z,23_v,24_x,24_y,24_z,24_v,25_x,25_y,25_z,25_v,26_x,26_y,26_z,26_v,27_x,27_y,27_z,27_v,28_x,28_y,28_z,28_v,29_x,29_y,29_z,29_v,30_x,30_y,30_z,30_v,31_x,31_y,31_z,31_v,32_x,32_y,32_z,32_v
5.2,0.5554639101028442,0.22564463317394257,0.03551848605275154,0.99924236536026,0.5474111437797546,0.21389999985694885,0.061523351818323135,0.9988846182823181,0.5451574325561523,0.21352283656597137,0.06151115149259567,0.9987831711769104,0.5424609184265137,0.21302951872348785,0.061561230570077896,0.9990102052688599,0.5457656383514404,0.21334320306777954,-0.004671909846365452,0.9990174770355225,0.5426459312438965,0.21274876594543457,-0.0046817827969789505,0.9990822076797485,0.539225161075592,0.2121330350637436,-0.004865795839577913,0.9992605447769165,0.5147355198860168,0.21399207413196564,0.18496553599834442,0.9976183772087097,0.5156601071357727,0.21361038088798523,-0.1129675880074501,0.9991801977157593,0.5449416637420654,0.23585446178913116,0.08880556374788284,0.9987323880195618,0.5413570404052734,0.23508888483047485,0.002229022327810526,0.9991211891174316,0.4664483666419983,0.2691076099872589,0.39603036642074585,0.9982743263244629,0.4810151159763336,0.25937703251838684,-0.3153823912143707,0.9999745488166809,0.4549853801727295,0.3565455675125122,0.4282352924346924,0.04866155609488487,0.4853615164756775,0.3461773693561554,-0.39872267842292786,0.986643373966217,0.5000120401382446,0.4337633550167084,0.2852306365966797,0.07583803683519363,0.5438347458839417,0.4308926463127136,-0.3409362733364105,0.9443517923355103,0.5148148536682129,0.4560627341270447,0.284682035446167,0.08371207863092422,0.5457434058189392,0.455917626619339,-0.3901357650756836,0.9162890911102295,0.5191596150398254,0.4582647681236267,0.23546095192432404,0.08410925418138504,0.5575878620147705,0.4566532075405121,-0.36796754598617554,0.9065651297569275,0.5227260589599609,0.4486120939254761,0.25717076659202576,0.08770778775215149,0.5571500062942505,0.44901105761528015,-0.3273634910583496,0.8641911149024963,0.44195684790611267,0.43208515644073486,0.2139464020729065,0.996105432510376,0.46619299054145813,0.4287802278995514,-0.21405981481075287,0.9978547096252441,0.44655582308769226,0.56693434715271,0.19005434215068817,0.18080738186836243,0.4698992669582367,0.5658730864524841,-0.20882394909858704,0.924526572227478,0.4339275360107422,0.702852189540863,0.24253429472446442,0.30798041820526123,0.44103333353996277,0.7069185972213745,-0.17065435647964478,0.8880658149719238,0.4178871512413025,0.7234386801719666,0.23584270477294922,0.4367637634277344,0.42195436358451843,0.7279165387153625,-0.17428220808506012,0.8626222014427185,0.5371764302253723,0.719384491443634,0.1126677393913269,0.5120476484298706,0.5539609789848328,0.7312167882919312,-0.34079423546791077,0.89207524061203
5.233,0.5584322810173035,0.22601152956485748,0.04011008143424988,0.9992724657058716,0.5504942536354065,0.21423600614070892,0.06516881287097931,0.9989297389984131,0.5481147766113281,0.21390146017074585,0.06515423208475113,0.9988314509391785,0.5452679395675659,0.21344886720180511,0.06519219279289246,0.9990509748458862,0.5489475131034851,0.21365070343017578,0.001028180937282741,0.9990532994270325,0.5458049774169922,0.2130742371082306,0.0010430477559566498,0.9991145133972168,0.5423305034637451,0.21246418356895447,0.0009014284587465227,0.9992860555648804,0.5174833536148071,0.2145736813545227,0.18546812236309052,0.9977200031280518,0.5186499953269958,0.21406656503677368,-0.10472511500120163,0.9992068409919739,0.5476069450378418,0.23639479279518127,0.0915311947464943,0.9987785816192627,0.5440062880516052,0.23562654852867126,0.00735741201788187,0.9991514682769775,0.4668518006801605,0.2700560390949249,0.39585795998573303,0.9983160495758057,0.4827839136123657,0.2597143352031708,-0.301284521818161,0.9999748468399048,0.455051988363266,0.3572370409965515,0.42896413803100586,0.04790187254548073,0.48596423864364624,0.3463198244571686,-0.3869740068912506,0.9867575764656067,0.5021161437034607,0.43381741642951965,0.28936639428138733,0.07286036014556885,0.548132061958313,0.43083709478378296,-0.33805474638938904,0.9445988535881042,0.5131157040596008,0.4564686417579651,0.2877638041973114,0.08077941834926605,0.5523818731307983,0.4559282660484314,-0.38573893904685974,0.9164204597473145,0.5212670564651489,0.4582054913043976,0.2385905534029007,0.08108910173177719,0.5644699931144714,0.45657315850257874,-0.3653701841831207,0.9066682457923889,0.5219906568527222,0.4485778510570526,0.26134926080703735,0.08481520414352417,0.5633729696273804,0.4489080607891083,-0.32497650384902954,0.8641173839569092,0.44201532006263733,0.43238747119903564,0.21021482348442078,0.9962148070335388,0.46602126955986023,0.4288981258869171,-0.21026678383350372,0.9978921413421631,0.45136499404907227,0.5669105052947998,0.1685624122619629,0.17751921713352203,0.4774567186832428,0.5658729672431946,-0.2062322497367859,0.9227909445762634,0.433919757604599,0.7028329372406006,0.20213298499584198,0.3032137155532837,0.44103991985321045,0.7069035172462463,-0.17309339344501495,0.8842440247535706,0.4167518615722656,0.723423957824707,0.19372616708278656,0.4324483573436737,0.42110785841941833,0.727912962436676,-0.17708805203437805,0.8586537837982178,0.5362913608551025,0.7194446921348572,0.07464464753866196,0.5074074864387512,0.5513079762458801,0.7312380075454712,-0.34027159214019775,0.8894580602645874
5.266,0.5605626702308655,0.2279631346464157,0.041157715022563934,0.9992876648902893,0.5534142851829529,0.2161959558725357,0.06648939847946167,0.9989514946937561,0.5510665774345398,0.2157963067293167,0.06647403538227081,0.9988521337509155,0.5482450127601624,0.21526554226875305,0.06651376187801361,0.9990720748901367,0.5519109964370728,0.2156258076429367,0.002307822462171316,0.9990720748901367,0.548820972442627,0.215009406208992,0.002320725005120039,0.999130368232727,0.5453479886054993,0.21434396505355835,0.0021763909608125687,0.999299168586731,0.5199323296546936,0.21592140197753906,0.18620920181274414,0.9977554678916931,0.520968496799469,0.21547378599643707,-0.10509051382541656,0.9992172718048096,0.5491585731506348,0.23808877170085907,0.0926341712474823,0.9988008141517639,0.5455382466316223,0.23733602464199066,0.008400541730225086,0.999162495136261,0.4687414765357971,0.2708771824836731,0.3950195610523224,0.9983789920806885,0.48410066962242126,0.26119130849838257,-0.3008996546268463,0.9999752044677734,0.4653332829475403,0.3573080599308014,0.4326753318309784,0.04691561311483383,0.48919084668159485,0.34746691584587097,-0.38352060317993164,0.9865683317184448,0.5174713730812073,0.43359676003456116,0.3004615008831024,0.07120104134082794,0.5544428825378418,0.4309394955635071,-0.3178296387195587,0.9445431232452393,0.5340765118598938,0.45576906204223633,0.30140939354896545,0.07922692596912384,0.5593921542167664,0.4559192359447479,-0.36286506056785583,0.916415810585022,0.5379133224487305,0.4563279151916504,0.2513868808746338,0.07952581346035004,0.5698033571243286,0.4564966857433319,-0.3412940204143524,0.9065357446670532,0.5373600125312805,0.44709616899490356,0.2719303369522095,0.08344106376171112,0.5685815215110779,0.4488740861415863,-0.30415967106819153,0.8631234169006348,0.4420333206653595,0.4323922395706177,0.20977982878684998,0.9963080883026123,0.46598702669143677,0.42894384264945984,-0.2098434567451477,0.997912585735321,0.4589298665523529,0.5667040944099426,0.16355736553668976,0.17243574559688568,0.48697757720947266,0.5654767751693726,-0.20630773901939392,0.9200133681297302,0.43519389629364014,0.7027966380119324,0.18941865861415863,0.2993089556694031,0.4409118890762329,0.7066003680229187,-0.17489829659461975,0.8807088732719421,0.41785988211631775,0.72337406873703,0.18089008331298828,0.4293702244758606,0.4201914072036743,0.7275761961936951,-0.17920948565006256,0.8538498282432556,0.543917715549469,0.7196726202964783,0.06367991864681244,0.5050841569900513,0.5515357851982117,0.7308522462844849,-0.3378550708293915,0.8870036005973816
5.3,0.565150260925293,0.22957134246826172,0.06084348261356354,0.9993102550506592,0.5582498908042908,0.2178032100200653,0.08597049862146378,0.9989924430847168,0.5558358430862427,0.21744750440120697,0.08592837303876877,0.9988990426063538,0.5530248880386353,0.21697361767292023,0.08594014495611191,0.9991118311882019,0.5572175979614258,0.21717767417430878,0.02402600459754467,0.9990980625152588,0.554287314414978,0.2165718376636505,0.024063579738140106,0.9991527795791626,0.5510205030441284,0.2159138172864914,0.023955877870321274,0.9993153810501099,0.524955689907074,0.21763968467712402,0.1985815465450287,0.9978622794151306,0.5264589786529541,0.2170824259519577,-0.08016745001077652,0.9992334246635437,0.553560733795166,0.23972584307193756,0.10897776484489441,0.9988270401954651,0.5502774119377136,0.23893141746520996,0.0279048103839159,0.9991714954376221,0.47040531039237976,0.27233660221099854,0.3965451121330261,0.9984349608421326,0.48762649297714233,0.26183468103408813,-0.2738896608352661,0.9999751448631287,0.46694937348365784,0.36020752787590027,0.4389022886753082,0.04645238816738129,0.49067220091819763,0.34920480847358704,-0.34373292326927185,0.9863632917404175,0.5251293182373047,0.43405231833457947,0.3084370493888855,0.07015036046504974,0.5579231381416321,0.4308466911315918,-0.2763563394546509,0.9442071914672852,0.5428412556648254,0.4557550251483917,0.3077509105205536,0.07839818298816681,0.5663495659828186,0.45569145679473877,-0.31560438871383667,0.9156937003135681,0.5492093563079834,0.4555515646934509,0.25873029232025146,0.07865453511476517,0.5751008987426758,0.4552644193172455,-0.29565027356147766,0.9055892825126648,0.5480145215988159,0.44656965136528015,0.2801963984966278,0.08283791691064835,0.57200688123703,0.44749853014945984,-0.26292940974235535,0.8614790439605713,0.4414305090904236,0.43282127380371094,0.2045791745185852,0.9964397549629211,0.4655976891517639,0.4293498992919922,-0.20454400777816772,0.9979525804519653,0.4690648913383484,0.5664284229278564,0.13100363314151764,0.16932213306427002,0.49744105339050293,0.5654637217521667,-0.20398882031440735,0.9199247360229492,0.43687736988067627,0.7027369141578674,0.13618101179599762,0.29762008786201477,0.44089728593826294,0.7065436840057373,-0.1910097748041153,0.8781797885894775,0.4191781282424927,0.7234820127487183,0.1255483627319336,0.42759644985198975,0.41948822140693665,0.7275811433792114,-0.19720426201820374,0.8495204448699951,0.5477071404457092,0.72054123878479,0.01095903106033802,0.5042994022369385,0.5515313744544983,0.7308667302131653,-0.3405853509902954,0.884782612323761
5.333,0.5679595470428467,0.23363304138183594,0.08077088743448257,0.9993483424186707,0.56098872423172,0.2215106338262558,0.10586067289113998,0.9990515112876892,0.5587006211280823,0.22119122743606567,0.10580556094646454,0.9989636540412903,0.5560569763183594,0.22073936462402344,0.10579922050237656,0.9991662502288818,0.5598937273025513,0.22083565592765808,0.04502445086836815,0.999144971370697,0.5570191740989685,0.22020895779132843,0.04506511986255646,0.999195396900177,0.5537815093994141,0.2195441722869873,0.04496770352125168,0.9993494153022766,0.528900682926178,0.22142961621284485,0.21641728281974792,0.9979997873306274,0.5295466184616089,0.22072018682956696,-0.05616031214594841,0.999267578125,0.5564498901367188,0.2438642382621765,0.12777753174304962,0.998879075050354,0.5531023144721985,0.24287006258964539,0.048263806849718094,0.9992006421089172,0.47411543130874634,0.276510089635849,0.40705445408821106,0.9985016584396362,0.4896511435508728,0.26438209414482117,-0.25149303674697876,0.999975323677063,0.4735782742500305,0.3625888228416443,0.4606555998325348,0.04725643992424011,0.49243927001953125,0.350985050201416,-0.32051849365234375,0.9862456321716309,0.5413576364517212,0.43430855870246887,0.3358253836631775,0.06994345039129257,0.5606566667556763,0.43081122636795044,-0.25538286566734314,0.9445862174034119,0.5574712157249451,0.4557877779006958,0.3368108868598938,0.07803302258253098,0.5703765153884888,0.4551025629043579,-0.29244983196258545,0.9159635305404663,0.5707374811172485,0.45551547408103943,0.28698888421058655,0.07828966528177261,0.5803880095481873,0.4542820155620575,-0.2718510031700134,0.905755877494812,0.5630384683609009,0.4465659260749817,0.30726805329322815,0.08284619450569153,0.5758302211761475,0.44660744071006775,-0.24178266525268555,0.8614855408668518,0.4413061738014221,0.43508872389793396,0.19837920367717743,0.9965693950653076,0.463127464056015,0.43136146664619446,-0.1982690542936325,0.9979854822158813,0.48394787311553955,0.5673843622207642,0.09989704191684723,0.16637223958969116,0.5013375282287598,0.5667430758476257,-0.20345212519168854,0.9199580550193787,0.4386506676673889,0.7027341723442078,0.09060049057006836,0.29409390687942505,0.4409055709838867,0.7065216898918152,-0.21618029475212097,0.8760729432106018,0.41951295733451843,0.7233896255493164,0.0790366679430008,0.425350546836853,0.4187381863594055,0.7272652387619019,-0.22363071143627167,0.8463281989097595,0.5515013337135315,0.7206699848175049,-0.03596463054418564,0.5013726353645325,0.5520556569099426,0.7308143973350525,-0.3567515015602112,0.8829401731491089
5.366,0.5710077881813049,0.23900200426578522,0.10982561111450195,0.9993920922279358,0.5641332864761353,0.22688540816307068,0.13650387525558472,0.9991186857223511,0.5617707967758179,0.22645050287246704,0.1364419013261795,0.9990358948707581,0.5590407848358154,0.22592173516750336,0.13642245531082153,0.9992271065711975,0.5629475712776184,0.22616927325725555,0.0741996243596077,0.99920254945755,0.5599761605262756,0.2253732830286026,0.07423621416091919,0.9992480874061584,0.5566092729568481,0.22454312443733215,0.07413779199123383,0.9993930459022522,0.5315835475921631,0.22643418610095978,0.2502807378768921,0.9981493949890137,0.5319280028343201,0.2253705859184265,-0.028034457936882973,0.9993130564689636,0.5591013431549072,0.2490578591823578,0.15766075253486633,0.9989438652992249,0.5557636022567749,0.2478044629096985,0.0764084905385971,0.9992418885231018,0.4779278337955475,0.2824449837207794,0.440131276845932,0.998566210269928,0.49052903056144714,0.2688456177711487,-0.23361311852931976,0.999975860118866,0.48160722851753235,0.3689550459384918,0.50936359167099,0.049551237374544144,0.4937824308872223,0.3535533845424652,-0.3038097620010376,0.9865766167640686,0.55333012342453,0.43666377663612366,0.3852272033691406,0.07150164991617203,0.5658960342407227,0.43052732944488525,-0.24152137339115143,0.9466288685798645,0.5707190036773682,0.4560205042362213,0.3860556185245514,0.079181008040905,0.5767860412597656,0.45455124974250793,-0.278852254152298,0.9183138012886047,0.5797684788703918,0.4555184245109558,0.33571407198905945,0.07945051044225693,0.58627849817276,0.4531700909137726,-0.25932374596595764,0.9082697629928589,0.5747259259223938,0.44778963923454285,0.3562230169773102,0.08450207114219666,0.5813589096069336,0.4451441168785095,-0.22811351716518402,0.8645929098129272,0.4412955641746521,0.4377839267253876,0.19806979596614838,0.996677577495575,0.45812705159187317,0.4333985447883606,-0.19795693457126617,0.9980064034461975,0.49195557832717896,0.5675979852676392,0.08598773181438446,0.16287194192409515,0.5032774806022644,0.5678662657737732,-0.20763766765594482,0.9187043309211731,0.4409790337085724,0.7033475041389465,0.07656177133321762,0.2874011695384979,0.44112011790275574,0.7070398926734924,-0.24227747321128845,0.8728058338165283,0.4198703467845917,0.7239847779273987,0.06498982757329941,0.41966426372528076,0.4183184802532196,0.7275716066360474,-0.2502883970737457,0.8429945111274719,0.5532156229019165,0.7218431830406189,-0.05302713066339493,0.49413803219795227,0.5535625219345093,0.7312859892845154,-0.3870517611503601,0.8799341917037964
5.4,0.5742625594139099,0.24351392686367035,0.11303647607564926,0.9994429349899292,0.5673514008522034,0.23139835894107819,0.1398327350616455,0.9991933107376099,0.5650923848152161,0.23091493546962738,0.13978011906147003,0.9991164207458496,0.5625073313713074,0.23037710785865784,0.13975602388381958,0.9992931485176086,0.5657500624656677,0.2305770218372345,0.07589124888181686,0.9992693662643433,0.5626111030578613,0.2296590358018875,0.07593359053134918,0.999310314655304,0.5590771436691284,0.2287774533033371,0.07583573460578918,0.999443769454956,0.5348767042160034,0.23130916059017181,0.257361501455307,0.9983072280883789,0.533968985080719,0.23003414273262024,-0.028363773599267006,0.9993685483932495,0.5623802542686462,0.2538807690143585,0.16275475919246674,0.9990273118019104,0.5586385726928711,0.2523854970932007,0.07924631237983704,0.9993004202842712,0.48428377509117126,0.2897942364215851,0.4564867317676544,0.998645544052124,0.49104225635528564,0.27462926506996155,-0.23553615808486938,0.9999768137931824,0.49941784143447876,0.3815312385559082,0.5468841791152954,0.05392821878194809,0.49709755182266235,0.3577079176902771,-0.3079218864440918,0.9870191812515259,0.580583930015564,0.4440472722053528,0.4317185580730438,0.07891672104597092,0.5758693218231201,0.4313068985939026,-0.2540165185928345,0.9496806263923645,0.6006901860237122,0.46021905541419983,0.4362173080444336,0.08567796647548676,0.5899177193641663,0.45500248670578003,-0.2947750389575958,0.922339916229248,0.6062303185462952,0.45880985260009766,0.37859219312667847,0.0861588642001152,0.6005331873893738,0.4532817304134369,-0.27412140369415283,0.9126157760620117,0.6011027097702026,0.45338475704193115,0.3999798595905304,0.09205739945173264,0.5936976075172424,0.4451480805873871,-0.24053804576396942,0.8701096177101135,0.44128796458244324,0.44185870885849,0.19863635301589966,0.9968128800392151,0.4519670307636261,0.43677765130996704,-0.19854067265987396,0.9980454444885254,0.5018952488899231,0.5678053498268127,0.08182055503129959,0.1628059446811676,0.5082571506500244,0.5685338377952576,-0.22056695818901062,0.9194822907447815,0.444314569234848,0.7035081386566162,0.08348154276609421,0.28476566076278687,0.44146373867988586,0.7074582576751709,-0.251811146736145,0.87274169921875,0.42043429613113403,0.724008321762085,0.07372884452342987,0.41889509558677673,0.41827479004859924,0.7276848554611206,-0.2587665915489197,0.8414829969406128,0.5552183985710144,0.7220590710639954,-0.045030295848846436,0.4913925528526306,0.553922176361084,0.7318350672721863,-0.4008302390575409,0.879000723361969
5.433,0.5779620409011841,0.24934563040733337,0.13742832839488983,0.9994938969612122,0.5723803639411926,0.2374766618013382,0.16636443138122559,0.9992673397064209,0.5701976418495178,0.23700235784053802,0.16632072627544403,0.9991968870162964,0.5675999522209167,0.23642712831497192,0.16629523038864136,0.9993584752082825,0.570456862449646,0.23645909130573273,0.10028031468391418,0.9993364214897156,0.56714928150177,0.23540617525577545,0.10032469779253006,0.9993732571601868,0.5634679198265076,0.23437801003456116,0.10024413466453552,0.9994949102401733,0.539090633392334,0.23673047125339508,0.28821855783462524,0.9984623193740845,0.5372419953346252,0.23529677093029022,-0.006831267382949591,0.9994254112243652,0.5657925605773926,0.25956353545188904,0.18837296962738037,0.999112606048584,0.5616968870162964,0.2578189969062805,0.10203178226947784,0.9993610978126526,0.4896298348903656,0.2975330352783203,0.4883388876914978,0.998737633228302,0.49099811911582947,0.28024664521217346,-0.22350665926933289,0.9999781847000122,0.509673535823822,0.38998284935951233,0.5880881547927856,0.059117481112480164,0.5036842226982117,0.3628785312175751,-0.30129462480545044,0.9876613616943359,0.5972317457199097,0.45168355107307434,0.4748550355434418,0.0885414108633995,0.5897102355957031,0.4337199628353119,-0.2542122006416321,0.9529886245727539,0.6175684928894043,0.4671190083026886,0.48016685247421265,0.09400248527526855,0.6055298447608948,0.45699599385261536,-0.2984757721424103,0.9267521500587463,0.6229078769683838,0.46496468782424927,0.4197864830493927,0.09465403854846954,0.6159337759017944,0.45413267612457275,-0.2761344909667969,0.9173749685287476,0.6182257533073425,0.4600277841091156,0.44188153743743896,0.10134369134902954,0.6097195148468018,0.44639790058135986,-0.2402777224779129,0.8761659860610962,0.4421011209487915,0.44582316279411316,0.20051094889640808,0.9969943761825562,0.44693881273269653,0.4392206370830536,-0.20040249824523926,0.9981204867362976,0.5134778618812561,0.5701233148574829,0.07194672524929047,0.16408032178878784,0.5107435584068298,0.5706231594085693,-0.24668458104133606,0.9214368462562561,0.44518452882766724,0.7041231393814087,0.07084344327449799,0.285557359457016,0.44146886467933655,0.7076995968818665,-0.28218814730644226,0.8754714131355286,0.42059075832366943,0.7242001295089722,0.06095867231488228,0.42046481370925903,0.4175994396209717,0.7277559041976929,-0.2896859347820282,0.8427616357803345,0.554366409778595,0.7234876155853271,-0.061641864478588104,0.49341556429862976,0.5520475506782532,0.7336236834526062,-0.4396873116493225,0.8806149959564209
5.466,0.5808544158935547,0.2551576793193817,0.12311451882123947,0.9995390176773071,0.5762936472892761,0.24333983659744263,0.15003272891044617,0.9993336796760559,0.5741598606109619,0.24286608397960663,0.1499912142753601,0.9992691874504089,0.5715175271034241,0.24226079881191254,0.14996735751628876,0.999417245388031,0.5743345022201538,0.2423989325761795,0.084333635866642,0.999396562576294,0.5710160136222839,0.24137835204601288,0.08436707407236099,0.9994298219680786,0.5673556327819824,0.24034662544727325,0.08427689224481583,0.9995408654212952,0.5419483184814453,0.24180789291858673,0.26864829659461975,0.998603105545044,0.5402403473854065,0.24063347280025482,-0.020589550957083702,0.9994763135910034,0.5682399272918701,0.2649701237678528,0.1731618046760559,0.9991889595985413,0.5644193291664124,0.26342299580574036,0.08728919923305511,0.999415934085846,0.4912277162075043,0.30262497067451477,0.4692747890949249,0.998818039894104,0.49109095335006714,0.2875109612941742,-0.23297619819641113,0.9999789595603943,0.5181660056114197,0.39095768332481384,0.5661839842796326,0.06440412253141403,0.5136116147041321,0.3699004054069519,-0.2984367907047272,0.988008439540863,0.6109790802001953,0.45282411575317383,0.46856600046157837,0.09483332931995392,0.6065094470977783,0.43987950682640076,-0.22174574434757233,0.9553955793380737,0.6293913125991821,0.4693026542663574,0.47586241364479065,0.09902088344097137,0.6248118877410889,0.460952490568161,-0.26430416107177734,0.9298567175865173,0.6350194811820984,0.46624755859375,0.417135626077652,0.09976407885551453,0.6322396993637085,0.4574585258960724,-0.23726077377796173,0.9205957055091858,0.6318836212158203,0.46009528636932373,0.43692153692245483,0.10706643015146255,0.6267645955085754,0.450294554233551,-0.20594875514507294,0.8800328969955444,0.44113627076148987,0.44933468103408813,0.20064683258533478,0.9971125721931458,0.4433650076389313,0.4441056549549103,-0.2005576491355896,0.9981475472450256,0.520138680934906,0.5710785984992981,0.08147989958524704,0.16436231136322021,0.5125015377998352,0.572295606136322,-0.24139602482318878,0.9218267798423767,0.4471002221107483,0.7043485641479492,0.09146509319543839,0.28455066680908203,0.4421897828578949,0.7082979083061218,-0.2618337869644165,0.8770323991775513,0.42254701256752014,0.7241901755332947,0.08213073015213013,0.4207251965999603,0.41777369379997253,0.7279083728790283,-0.2685621678829193,0.8435240387916565,0.5542207360267639,0.7244908809661865,-0.04470274969935417,0.49275219440460205,0.5520622134208679,0.7362334132194519,-0.4265555143356323,0.8810893297195435
5.5,0.5833883285522461,0.26089003682136536,0.14740610122680664,0.9995821714401245,0.5788903832435608,0.248829647898674,0.17454731464385986,0.9993966221809387,0.5767291188240051,0.24830718338489532,0.17450471222400665,0.9993381500244141,0.5740536451339722,0.247653990983963,0.1744677573442459,0.9994727373123169,0.5769842863082886,0.24783752858638763,0.10724537819623947,0.9994533061981201,0.573721170425415,0.24674902856349945,0.10725908726453781,0.9994834661483765,0.5701376795768738,0.2456652820110321,0.10718167573213577,0.9995843768119812,0.5441756844520569,0.2472071796655655,0.2911633253097534,0.9987362027168274,0.542708694934845,0.24607403576374054,-0.008183415047824383,0.999525249004364,0.5705857872962952,0.27080294489860535,0.1966250091791153,0.9992614984512329,0.5669722557067871,0.2692584693431854,0.10859646648168564,0.9994681477546692,0.49203187227249146,0.3091296851634979,0.49538812041282654,0.9989023804664612,0.49142417311668396,0.29281482100486755,-0.22423085570335388,0.9999800324440002,0.5184733867645264,0.3970312476158142,0.6017052531242371,0.06810148805379868,0.5224863886833191,0.3736289441585541,-0.2768970727920532,0.9884273409843445,0.6135215163230896,0.4540432095527649,0.5149408578872681,0.10195589810609818,0.6160321831703186,0.44034454226493835,-0.17148242890834808,0.9575868248939514,0.6351242065429688,0.46972498297691345,0.5254383087158203,0.1051388531923294,0.6351439952850342,0.4606565535068512,-0.2093544900417328,0.9326722025871277,0.644866406917572,0.4667178690433502,0.4666425585746765,0.10584931820631027,0.6445096135139465,0.45732706785202026,-0.17945078015327454,0.9234973788261414,0.6373335719108582,0.46097832918167114,0.48327377438545227,0.1136881560087204,0.6368415951728821,0.4501051604747772,-0.15386930108070374,0.8836318254470825,0.4383866488933563,0.4549969434738159,0.20251736044883728,0.997303307056427,0.4380769431591034,0.4489791989326477,-0.20235449075698853,0.9982385039329529,0.5266444087028503,0.5722785592079163,0.07340787351131439,0.17046676576137543,0.5214601159095764,0.5743154883384705,-0.25016725063323975,0.9256352186203003,0.4504282474517822,0.7043432593345642,0.07653924077749252,0.2936929762363434,0.4434959888458252,0.7082908153533936,-0.2693835496902466,0.8821629285812378,0.4264353811740875,0.723915696144104,0.06814640760421753,0.43078428506851196,0.4179272949695587,0.7279300689697266,-0.27439823746681213,0.847602903842926,0.5550180077552795,0.7248976826667786,-0.04279867187142372,0.5032877326011658,0.5523407459259033,0.7366612553596497,-0.41225236654281616,0.8850941061973572
5.533,0.58407062292099,0.26715323328971863,0.19140878319740295,0.9996224045753479,0.5788614153862,0.25405648350715637,0.22129297256469727,0.999454915523529,0.5766357779502869,0.2534087300300598,0.22123220562934875,0.9994021654129028,0.5739455819129944,0.2527714669704437,0.22119463980197906,0.9995240569114685,0.5773418545722961,0.2533063590526581,0.15419891476631165,0.9995058178901672,0.5743047595024109,0.2522713840007782,0.1542019098997116,0.9995331764221191,0.5709030628204346,0.25131669640541077,0.1541016846895218,0.9996245503425598,0.5445528626441956,0.2524619996547699,0.33844369649887085,0.998859167098999,0.543965756893158,0.25126779079437256,0.03751868009567261,0.9995706081390381,0.5709913969039917,0.2766838073730469,0.23973840475082397,0.9993292689323425,0.5680115222930908,0.2752900719642639,0.15135660767555237,0.9995168447494507,0.4911583662033081,0.31504330039024353,0.5319980382919312,0.9989860653877258,0.4932245910167694,0.29644331336021423,-0.190553680062294,0.999981164932251,0.5124855041503906,0.4062911868095398,0.6415820717811584,0.071651391685009,0.5281939506530762,0.3770371377468109,-0.261947363615036,0.9889335632324219,0.6118298172950745,0.45631176233291626,0.5659205317497253,0.1130865067243576,0.6269580125808716,0.4422251582145691,-0.17559516429901123,0.9597774744033813,0.6389366984367371,0.4720434546470642,0.5782862305641174,0.11568187922239304,0.6502055525779724,0.4605479836463928,-0.21521498262882233,0.9356582164764404,0.6471256017684937,0.46813884377479553,0.5185924768447876,0.11626475304365158,0.6636834740638733,0.457014262676239,-0.1851796656847,0.9266310334205627,0.6398211717605591,0.4626483917236328,0.5344218611717224,0.12453588098287582,0.6527973413467407,0.45001211762428284,-0.15832634270191193,0.8876748085021973,0.42975568771362305,0.46022865176200867,0.2045925259590149,0.9975204467773438,0.4298762083053589,0.45218929648399353,-0.2043551206588745,0.9983595013618469,0.5312463641166687,0.5734691023826599,0.07331283390522003,0.1856868714094162,0.5315482020378113,0.5753986239433289,-0.2609502077102661,0.9313187003135681,0.452276349067688,0.7045913934707642,0.07411731034517288,0.31766048073768616,0.4452083706855774,0.7080785036087036,-0.2751103639602661,0.8908035159111023,0.4274772107601166,0.724129319190979,0.06553517282009125,0.4526046812534332,0.41852644085884094,0.7274358868598938,-0.27868351340293884,0.8565473556518555,0.5571027994155884,0.7270237803459167,-0.0444364920258522,0.5247799754142761,0.5527253746986389,0.7365330457687378,-0.4060686230659485,0.8924245834350586
